4859,Adriana dos Santos Arajo,Female,30,25-30,167,60,BRA,2012,Boxing,Boxing Women's Lightweight,Bronze
4860,Alexandra Araujo,Female,32,Over 30,167,67,ITA,2004,Water Polo,Water Polo Women's Water Polo,Gold
15873,Frdric-Albert Gustave Bruynseels,Male,31,Over 30,,,BEL,1920,Sailing,Sailing Mixed 6 metres,Gold
16973,James Aaron Butts,Male,26,25-30,188,82,USA,1976,Athletics,Athletics Men's Triple Jump,Silver
16974,Matthew Butturini,Male,24,18-25,181,81,AUS,2012,Hockey,Hockey Men's Hockey,Bronze
16977,Dajana Butulija,Female,30,25-30,175,65,SRB,2016,Basketball,Basketball Women's Basketball,Bronze
16980,Nataliya Anatolyevna Butuzova,Female,26,25-30,167,58,URS,1980,Archery,Archery Women's Individual,Silver
56,Ren Abadie,Male,21,18-25,,,FRA,1956,Cycling,"Cycling Men's Road Race, Team",Gold
62,Giovanni Abagnale,Male,21,18-25,198,90,ITA,2016,Rowing,Rowing Men's Coxless Pairs,Bronze
63,Jos Luis Abajo Gmez,Male,30,25-30,194,87,ESP,2008,Fencing,"Fencing Men's epee, Individual",Bronze
65,Patimat Abakarova,Female,21,18-25,165,49,AZE,2016,Taekwondo,Taekwondo Women's Flyweight,Bronze
6022,"Arthur ""Art"" Austin",Male,21,18-25,,,USA,1924,Water Polo,Water Polo Men's Water Polo,Bronze
6025,Charles Allen Austin,Male,28,25-30,183,77,USA,1996,Athletics,Athletics Men's High Jump,Gold
7177,Ledys Frank Balceiro Pajn,Male,29,25-30,178,78,CUB,2004,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Silver
8306,Michiel Bernhard Emiel Marie Bartman,Male,37,Over 30,193,90,NED,2004,Rowing,Rowing Men's Coxed Eights,Silver
8310,Wojciech Stanisaw Bartnik,Male,24,18-25,182,91,POL,1992,Boxing,Boxing Men's Light-Heavyweight,Bronze
8316,Enzo Bartolini,Male,22,18-25,,,ITA,1936,Rowing,Rowing Men's Coxed Eights,Silver
2570,Gustav Bernhard Franck Alexander,Male,26,25-30,,,GBR,1908,Lacrosse,Lacrosse Men's Lacrosse,Silver
2575,Lisa Alexander,Female,27,25-30,172,58,CAN,1996,Synchronized Swimming,Synchronized Swimming Women's Team,Silver
2576,Michael O'Donel Bjarne Alexander,Male,24,18-25,188,74,GBR,1960,Fencing,"Fencing Men's epee, Team",Silver
1262,Sandra Aguilar Navarro,Female,23,18-25,167,50,ESP,2016,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Silver
1270,Jorge Luis Aguilera Ruiz,Male,26,25-30,172,64,CUB,1992,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
3735,Hjalmart Nrregaard Andersen (-Eering),Male,22,18-25,,,DEN,1912,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Bronze
16984,"Anton Gerrit Jan ""Ton"" Buunk",Male,23,18-25,196,91,NED,1976,Water Polo,Water Polo Men's Water Polo,Bronze
16986,"Douglas Raymond ""Doug"" Buxton",Male,39,Over 30,,,AUS,1956,Sailing,Sailing Mixed 5.5 metres,Bronze
16991,Alfred Buyenne,Male,,,,,FRA,1920,Gymnastics,Gymnastics Men's Team All-Around,Bronze
15880,"Robert Charles ""Bob"" Bryan",Male,30,25-30,193,92,USA,2008,Tennis,Tennis Men's Doubles,Bronze
15880,"Robert Charles ""Bob"" Bryan",Male,34,Over 30,193,92,USA,2012,Tennis,Tennis Men's Doubles,Gold
15882,"Michael Carl ""Mike"" Bryan",Male,30,25-30,191,87,USA,2008,Tennis,Tennis Men's Doubles,Bronze
15882,"Michael Carl ""Mike"" Bryan",Male,34,Over 30,191,87,USA,2012,Tennis,Tennis Mixed Doubles,Bronze
15882,"Michael Carl ""Mike"" Bryan",Male,34,Over 30,191,87,USA,2012,Tennis,Tennis Men's Doubles,Gold
4876,Rodica Arba-Pucatu,Female,18,18-25,179,75,ROU,1980,Rowing,Rowing Women's Coxed Eights,Bronze
